Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone
72,Sahara Tower,Starbucks,31853-109684,04 3316164,LS,"Ground Floor, Sheikh Zayed Road","Ground Floor, Sheikh Zayed Road",,,Dubai,DU,AE,,"(24.9245929718018, 54.9971771240234)",24.92459297,54.99717712,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
73,Atlantis,Starbucks,32741-141410,44261435,LS,"Dubai Palm Island, Located in Dolphin Bay",Dubai Palm Island,Located in Dolphin Bay,,Dubai,DU,AE,,"(25.1337795257568, 55.120189666748)",25.13377953,55.12018967,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
74,Shangri-La Souq,Starbucks,32767-131566,25581641,LS,"Shangri-La Souk, Um Al Nar","Shangri-La Souk, Um Al Nar",,,Abu Dhabi,AZ,AE,3167,"(24.419849395752, 54.5104713439941)",24.4198494,54.51047134,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
75,Qanat Al Qasba,Starbucks,1359-138434,06-5560318,LS,Al Taawun Road,Al Taawun Road,,,Sharjah,SH,AE,,"(25.3231391906738, 55.3783302307129)",25.32313919,55.37833023,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
76,Camellia Flowers,Starbucks,1935-141406,02-6355542,LS,"Khalidiya Area Khalidiya street, Behind Union Bank and Finance House",Khalidiya Area Khalidiya street,Behind Union Bank and Finance House,,Abu Dhabi,AZ,AE,,"(24.4686908721924, 54.3382415771484)",24.46869087,54.33824158,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
80,Al Hamra Mall,Starbucks,1911-138604,07-2434772,LS,Umm-Al Qawain Ajman & Sharjah hwy,Umm-Al Qawain Ajman & Sharjah hwy,,,Ras Al Khaimah,RK,AE,,"(25.6822834014893, 55.7816886901855)",25.6822834,55.78168869,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
82,Bawadi Mall,Starbucks,1926-141411,37840012,LS,Maziad road after Hilton roundabout,Maziad road after Hilton roundabout,,,Al Ain,AZ,AE,,"(24.1593208312988, 55.8054885864258)",24.15932083,55.80548859,Arabian Standard Time,240,GMT+04:00 Asia/Muscat
83,Twin Towers 13th Street,Starbucks,1897-120044,26430239,LS,"3th street Abudhabi(Al Najda Street), beside Al Masood Nissan Show room",3th street Abudhabi(Al Najda Street),beside Al Masood Nissan Show room,,Abu Dhabi,AZ,AE,,"(23.8500480651855, 55.5276184082031)",23.85004807,55.52761841,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
85,Burjuman Centre II,Starbucks,34320-74020,43516656,LS,Banks Street,Banks Street,,,Dubai,DU,AE,,"(25.2537403106689, 55.3034973144531)",25.25374031,55.30349731,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
86,Old Town Commercial Island,Starbucks,32144-123448,44200343,LS,"Burj Dubai Down Town, Level 3",Burj Dubai Down Town,Level 3,,Dubai,DU,AE,3167,"(25.1918640136719, 55.2774772644043)",25.19186401,55.27747726,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
88,Madina Jumeirah,Starbucks,34317-95971,43686188,LS,Jumeirah,Jumeirah,,,Dubai,DU,AE,,"(25.1314506530762, 55.1872482299805)",25.13145065,55.18724823,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
90,Khalidiya Strt (Abu'D),Starbucks,30781-99022,26670052,LS,Khalidiya St.,Khalidiya St.,,,Abu Dhabi,AZ,AE,,"(24.18798828125, 55.6879272460938)",24.18798828,55.68792725,Arabian Standard Time,240,GMT+04:00 Asia/Muscat
92,Jimmy Mall,Starbucks,34332-97778,37627680,LS,"Baladia Road, opposite Passport Office",Baladia Road,opposite Passport Office,,Al Ain,AZ,AE,,"(24.2420997619629, 55.7267608642578)",24.24209976,55.72676086,Arabian Standard Time,240,GMT+04:00 Asia/Muscat
93,HCT Abu Dhabi Women's College Block,Starbucks,1579-122101,26426280,LS,"Najda Street, Higher Colleges of Technology",Najda Street,Higher Colleges of Technology,,Abu Dhabi,AZ,AE,3167,"(24.4879398345947, 54.3720207214355)",24.48793983,54.37202072,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
94,DBX - Dubai Airport Terminal 3 C201,Starbucks,1577-123446,42203661,LS,"Terminal 3,  Near Departure Gate 205, West Wing Food Court Area","Terminal 3,  Near Departure Gate 205",West Wing Food Court Area,,Dubai,DU,AE,2525,"(25.2525749206543, 55.3539924621582)",25.25257492,55.35399246,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
95,Gardens 3,Starbucks,34335-97976,43685991,LS,"Jebel Ali Gardens, Gardens III Tunisia Court",Jebel Ali Gardens,Gardens III Tunisia Court,,Dubai,DU,AE,,"(25.0406303405762, 55.1213111877441)",25.04063034,55.12131119,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
96,Gardens 2,Starbucks,34337-97975,43685986,LS,"Jebel Ali Gardens, Gardens II China Court",Jebel Ali Gardens,Gardens II China Court,,Dubai,DU,AE,,"(25.0462512969971, 55.1241073608398)",25.0462513,55.12410736,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
97,Gardens 1,Starbucks,34336-97974,43685403,LS,"Jebel Ali Gardens, Gardens I Persia Court",Jebel Ali Gardens,Gardens I Persia Court,,Dubai,DU,AE,,"(25.0438499450684, 55.1223106384277)",25.04384995,55.12231064,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
98,Knowledge Village,Starbucks,34346-97779,04-3616288,LS,"Block 18, Jumeirah Road, Beside Shape Wellness Spa","Block 18, Jumeirah Road",Beside Shape Wellness Spa,,Dubai,DU,AE,,"(25.1022624969482, 55.1624526977539)",25.1022625,55.1624527,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
100,Health Care City Dubai,Starbucks,30954-99024,43624858,LS,"Dubai Health Care City D Block, Ground Floor",Dubai Health Care City D Block,Ground Floor,,Dubai,DU,AE,,"(25.2310905456543, 55.3264694213867)",25.23109055,55.32646942,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
102,Emaar Town Center,Starbucks,31002-101076,43617373,LS,"Springs 1, Beside Spinneys Supermarket","Springs 1, Beside Spinneys Supermarket",,,Dubai,DU,AE,,"(25.0535469055176, 55.1719932556152)",25.05354691,55.17199326,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
104,Jumeirah Beach Residence 3 P24a,Starbucks,32571-107873,44355728,LS,"Jumeirah Beach Residence, Opposite right side Dubai Hilton Hotel",Jumeirah Beach Residence,Opposite right side Dubai Hilton Hotel,,Dubai,DU,AE,,"(25.0749397277832, 55.1325187683105)",25.07493973,55.13251877,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
105,DBX - Dubai Airport Terminal 3 C207,Starbucks,3169-123447,42203990,LS,"Terminal 3 Departures, east wing duty free area",Terminal 3 Departures,east wing duty free area,,Dubai,DU,AE,2525,"(25.2525806427002, 55.3540802001953)",25.25258064,55.3540802,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
106,Arabian Centre,Starbucks,3173-122109,04 2845433,LS,"Plot 262-3104, Al Mizar First","Plot 262-3104, Al Mizar First",,,Dubai,DU,AE,3167,"(25.2566394805908, 55.4558486938477)",25.25663948,55.45584869,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
107,Oasis Centre,Starbucks,3183-143827,43307155,LS,"Shaikh Zayed Road, Ground Floor",Shaikh Zayed Road,Ground Floor,,Dubai,DU,AE,,"(25.1690406799316, 55.2423286437988)",25.16904068,55.24232864,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
108,Safeer Mall,Starbucks,3172-113584,07-2355921,LS,Umm-Al Qawain Ajman and Sharjah hwy,Umm-Al Qawain Ajman and Sharjah hwy,,,Ras Al Khaimah,RK,AE,,"(25.7480602264404, 55.9244499206543)",25.74806023,55.92444992,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
109,Jumeirah Beach Residence 4 GM09,Starbucks,32457-106838,44233770,LS,"Jumeirah Beach Residence, Beside Marlin Furniture & opposite Ritz",Jumeirah Beach Residence,Beside Marlin Furniture & opposite Ritz,,Dubai,DU,AE,,"(25.0807399749756, 55.1389694213867)",25.08073997,55.13896942,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
110,Jumeirah Beach Residence 6 GM10,Starbucks,32476-106835,44233862,LS,"Jumeirah Beach Residence, Opposite Sheraton Hotel Dubai",Jumeirah Beach Residence,Opposite Sheraton Hotel Dubai,,Dubai,DU,AE,,"(25.0718097686768, 55.1297492980957)",25.07180977,55.1297493,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
111,Tawam Hospital,Starbucks,32640-131563,37677581,LS,"Al Ain Abu Dhabi Rd, Khalifa Bin Zayed, Al Makam Area","Al Ain Abu Dhabi Rd, Khalifa Bin Zayed",Al Makam Area,,Al Ain,AZ,AE,3167,"(24.1926898956299, 55.6504516601563)",24.1926899,55.65045166,Arabian Standard Time,240,GMT+04:00 Asia/Muscat
114,Blue Tower A,Starbucks,32029-110804,26429255,LS,"Street No.4, Muroor Road, Ground Floor","Street No.4, Muroor Road",Ground Floor,,Abu Dhabi,AZ,AE,,"(24.2148609161377, 55.7374610900879)",24.21486092,55.73746109,Arabian Standard Time,240,GMT+04:00 Asia/Muscat
116,The Residence Tower 1,Starbucks,32250-107405,44200636,LS,Down Town Burj,Down Town Burj,,,Dubai,DU,AE,,"(25.1923904418945, 55.271900177002)",25.19239044,55.27190018,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
117,Khalidiya Mall,Starbucks,32239-100001,26354740,LS,"Street no. 26 of Khalidiya Area, Ground Floor, Shop No. A11",Street no. 26 of Khalidiya Area,"Ground Floor, Shop No. A11",,Abu Dhabi,AZ,AE,,"(24.4708385467529, 54.3524513244629)",24.47083855,54.35245132,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
150,Florida 1,Starbucks,1285-140708,4342-9317,LS,"Florida 1, esquina Avenida Rivadavia","Florida 1, esquina Avenida Rivadavia",,,Buenos Aires,C,AR,C1005AAA,"(-34.6079788208008, -58.3749656677246)",-34.60797882,-58.37496567,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
118,Emaar Business Park,Starbucks,32117-116426,44224888,LS,"Dubai Marina after Mall of Emirates, 3rd Bldg,  Gr Floor, Near Main Entrance",Dubai Marina after Mall of Emirates,"3rd Bldg,  Gr Floor, Near Main Entrance",,Dubai,DU,AE,,"(25.0959091186523, 55.1690483093262)",25.09590912,55.16904831,SA Western Standard Time,-240,GMT+04:00 Asia/Dubai
120,Burj Dubai Business Park,Starbucks,32292-111724,44257991,LS,"Building 4, Ground Floor",Building 4,Ground Floor,,Dubai,DU,AE,,"(25.2029094696045, 55.2743797302246)",25.20290947,55.27437973,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
121,21st Century Tower,Starbucks,32269-114734,04-3250028,LS,"Sheikh Zayed Road, Ground Floor",Sheikh Zayed Road,Ground Floor,,Dubai,DU,AE,,"(25.2111129760742, 55.2752227783203)",25.21111298,55.27522278,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
123,Al Ghadeer Tower,Starbucks,32328-123449,04-3295676,LS,"Shaikh Zayed Road (In front of DIFC), Ground Floor",Shaikh Zayed Road (In front of DIFC),Ground Floor,,Dubai,DU,AE,58301,"(25.215539932251, 55.2789001464844)",25.21553993,55.27890015,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
124,Old Town Amenity Building,Starbucks,32329-111864,44309436,LS,Burj Dubai,Burj Dubai,,,Dubai,DU,AE,,"(25.1924304962158, 55.2783966064453)",25.1924305,55.27839661,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
125,JBR 1 Rimal Plaza,Starbucks,32523-106836,44355751,LS,"Jumeirah Beach Residence, Opposite of Dubai Hilton Hotel",Jumeirah Beach Residence,Opposite of Dubai Hilton Hotel,,Dubai,DU,AE,,"(25.0749397277832, 55.1326103210449)",25.07493973,55.13261032,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
126,Movenpick,Starbucks,32714-122107,43374720,LS,"Street 19, Oud  Metha Area, Ground Floor","Street 19, Oud  Metha Area",Ground Floor,,Dubai,DU,AE,121223,"(25.2344703674316, 55.3114700317383)",25.23447037,55.31147003,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
134,Dubai Mall LG 118,Starbucks,1801-136467,43398434,LS,"Burj Dubai Boulevard, Sheikh Zayed Rd, Shop LG 118","Burj Dubai Boulevard, Sheikh Zayed Rd",Shop LG 118,,Dubai,DU,AE,3167,"(25.1994724273682, 55.2753295898438)",25.19947243,55.27532959,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
135,Park Place Showmax,Starbucks,6137-116711,43428399,LS,"Jumeirah Beach Road, in front of Jumeirah Beach Park",Jumeirah Beach Road,in front of Jumeirah Beach Park,,Dubai,DU,AE,,"(25.1965999603271, 55.2366714477539)",25.19659996,55.23667145,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
136,Standard Chartered Building,Starbucks,32595-122105,26359275,LS,"Khalidiya St., Beside Union Cooperative Society",Khalidiya St.,Beside Union Cooperative Society,,Abu Dhabi,AZ,AE,3167,"(24.1879901885986, 55.687931060791)",24.18799019,55.68793106,Arabian Standard Time,240,GMT+04:00 Asia/Muscat
138,JBR 2 Rimal Marina,Starbucks,32425-106837,44233751,LS,"Jumeirah Beach Residence, front right corner of the Marina Tower",Jumeirah Beach Residence,front right corner of the Marina Tower,,Dubai,DU,AE,,"(25.0807399749756, 55.1390609741211)",25.08073997,55.13906097,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
139,Dubai Marina Mall,Starbucks,1968-136466,44342660,LS,"Sheikh Zayed Road, Jumeirah Beach Residence Area",Sheikh Zayed Road,Jumeirah Beach Residence Area,,Dubai,DU,AE,3167,"(25.0755996704102, 55.1410484313965)",25.07559967,55.14104843,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
140,Abu Dhabi University - Women's,Starbucks,3178-141407,25860492,LS,"Road Al ain Abu Dhabi Road number 22, Women side",Road Al ain Abu Dhabi Road number 22,Women side,,Abu Dhabi,AZ,AE,,"(24.3504238128662, 54.5699806213379)",24.35042381,54.56998062,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
141,Abu Dhabi University - Men's,Starbucks,3886-141408,24433824,LS,"Muroor Street, Abu Dhabi Mall","Muroor Street, Abu Dhabi Mall",,,Abu Dhabi,AZ,AE,,"(24.4629192352295, 54.3517875671387)",24.46291924,54.35178757,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
145,Deira City Center 4,Starbucks,31199-104340,04-2948442,LS,Deira,Deira,,,Dubai,DU,AE,,"(25.2532596588135, 55.3326187133789)",25.25325966,55.33261871,Arabian Standard Time,240,GMT+04:00 Asia/Dubai
160,Mariahilfer Strasse,Starbucks,40204-76700,43 1 3366332505,CO,Mariahilfer Strasse 23-25,Mariahilfer Strasse 23-25,,,Wien,9,AT,1060,"(48.2007064819336, 16.3586349487305)",48.20070648,16.35863495,W. Europe Standard Time,60,GMT+1:00 Europe/Vienna
161,Neubaugasse,Starbucks,40206-77760,43 1 3366332507,CO,Neubaugasse 4,Neubaugasse 4,,,Wien,9,AT,1070,"(48.1986541748047, 16.3500518798828)",48.19865417,16.35005188,W. Europe Standard Time,60,GMT+1:00 Europe/Vienna
147,Panamericano,Starbucks,4034-136938,5777-9501,LS,Melian Avenida 4602,Melian Avenida 4602,,,Buenos Aires,C,AR,C1430EZT,"(-34.5473480224609, -58.4859466552734)",-34.54734802,-58.48594666,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
148,Abasto Shopping Center,Starbucks,1279-139527,4861-1730,LS,Corrientes Avenida 3247,Corrientes Avenida 3247,,,Buenos Aires,C,AR,C1193AAE,"(-34.6039123535156, -58.4109382629395)",-34.60391235,-58.41093826,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
149,Panamericano II,Starbucks,3525-142748,5777-9501,LS,Melian Avenida 4602,Melian Avenida 4602,,,Buenos Aires,C,AR,C1430EZT,"(-34.5473480224609, -58.4858589172363)",-34.54734802,-58.48585892,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
151,Alto Palermo,Starbucks,32499-133544,5777-8114,LS,"Av Coronel Diaz 3360, (esq. Arenales)","Av Coronel Diaz 3360, (esq. Arenales)",,,Buenos Aires,C,AR,C1425BGI,"(-34.588062286377, -58.409782409668)",-34.58806229,-58.40978241,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
152,Malabia,Starbucks,1290-142064,4831-9937,LS,Malabia 1720,Malabia 1720,,,Buenos Aires,C,AR,C1414DMJ,"(-34.5898361206055, -58.425609588623)",-34.58983612,-58.42560959,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
153,Elcano,Starbucks,1284-140707,4554-7122,LS,Elcano 3179,Elcano 3179,,,Buenos Aires,C,AR,C1427CIV,"(-34.5729331970215, -58.4593734741211)",-34.5729332,-58.45937347,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
154,Viamonte,Starbucks,1277-139525,5258-0314,LS,Callao 702 (esq. Viamonte),Callao 702 (esq. Viamonte),,,Buenos Aires,C,AR,C1023AAN,"(-34.6007308959961, -58.3914375305176)",-34.6007309,-58.39143753,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
155,Federico Lacroze,Starbucks,1270-136935,4899-1505,LS,Av Federico Lacroze 2301 (esq 3 de Febr),Av Federico Lacroze 2301 (esq 3 de Febr),,,Buenos Aires,C,AR,C1426CPI,"(-34.5688133239746, -58.4437446594238)",-34.56881332,-58.44374466,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
156,Defensores,Starbucks,3633-142525,4701-9317,LS,"Av. Comodor Martin Rivadavia 1560, esq. Avenida del Libertador",Av. Comodor Martin Rivadavia 1560,esq. Avenida del Libertador,,Buenos Aires,C,AR,C1429DBR,"(-34.5414390563965, -58.4630432128906)",-34.54143906,-58.46304321,Argentina Standard Time,-180,GMT-03:00 America/Argentina/Bu
164,Millennium City,Starbucks,40202-69420,43 1 3366332502,CO,Handelskai 94-96,Handelskai 94-96,,,Wien,9,AT,1200,"(48.2403450012207, 16.3869857788086)",48.240345,16.38698578,W. Europe Standard Time,60,GMT+1:00 Europe/Vienna
168,Karlsplatzpassage,Starbucks,32492-120288,4.31337E+12,CO,Karlsplatz Hauptpassage,Karlsplatz Hauptpassage,,,Wien,9,AT,1010,"(48.2007865905762, 16.3687648773193)",48.20078659,16.36876488,W. Europe Standard Time,60,GMT+1:00 Europe/Vienna
169,Rotenturmstrasse,Starbucks,31077-103980,43 1 3366332515,CO,Rotenturmstrasse 22,Rotenturmstrasse 22,,,Wien,9,AT,1010,"(48.2112998962402, 16.3760929107666)",48.2112999,16.37609291,W. Europe Standard Time,60,GMT+1:00 Europe/Vienna
